threshold,f1,precision,recall,au_pr,roc_auc
0.5,0.8265682656826568,0.8795811518324608,0.7795823665893271,0.7959147726582525,0.8364269141531323
0.6,0.6188197767145136,0.9897959183673469,0.45011600928074247,0.7204649841375066,0.7227378190255219
0.7,0.3910614525139665,0.9905660377358491,0.24361948955916474,0.6195114477082695,0.6206496519721578
0.8,0.2655935613682093,1.0,0.1531322505800464,0.5765661252900232,0.5765661252900232
0.9,0.17758985200845664,1.0,0.09744779582366589,0.548723897911833,0.548723897911833
